Accident Report,Primary Cause,Secondary Cause,Risk Factor
"On 25 Feb 2024, at 07:05 PM, a truck collided with a truck at Marine Drive, Mumbai. DUI-related accident. Two-wheeler rider not wearing a helmet",Drunk Driving,Helmet Violation,Moderate
"On 27 Jan 2024, at 07:51 PM, a truck collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Potholes, construction work, or lack of signs. ",Road Conditions,None,Moderate
"On 04 Feb 2024, at 02:49 AM, a bus collided with a truck at MG Road, Bangalore. Jumping red lights or ignoring stop signs. Jaywalking or crossing in unsafe zones",Signal Violation,Pedestrian Negligence,Moderate
"On 26 Feb 2024, at 04:16 PM, a bus collided with a car at Marine Drive, Mumbai. Over speeding and reckless maneuvering. ",Rash Driving,None,Moderate
"On 17 Feb 2024, at 11:21 PM, a car collided with a auto-rickshaw at MG Road, Bangalore. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,Moderate
"On 06 Jan 2024, at 10:39 AM, a two-wheeler collided with a auto-rickshaw at NH66 near Trivandrum. Potholes, construction work, or lack of signs. Potholes, construction work, or lack of signs",Road Conditions,Road Conditions,High
"On 25 Feb 2024, at 05:26 PM, a two-wheeler collided with a car at NH66 near Trivandrum. Potholes, construction work, or lack of signs. Heavy rain, fog, or slippery roads",Road Conditions,Weather Issues,Moderate
"On 24 Feb 2024, at 05:19 PM, a two-wheeler collided with a two-wheeler at Marine Drive, Mumbai. Potholes, construction work, or lack of signs. ",Road Conditions,None,Moderate
"On 09 Jan 2024, at 06:46 AM, a two-wheeler collided with a car at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 23 Feb 2024, at 12:01 AM, a auto-rickshaw collided with a car at NH66 near Trivandrum. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,High
"On 15 Jan 2024, at 05:55 AM, a two-wheeler collided with a auto-rickshaw at Marine Drive, Mumbai. Two-wheeler rider not wearing a helmet. Jaywalking or crossing in unsafe zones",Helmet Violation,Pedestrian Negligence,Moderate
"On 09 Jan 2024, at 10:40 PM, a bus collided with a car at Outer Ring Road, Hyderabad. Jumping red lights or ignoring stop signs. ",Signal Violation,None,High
"On 10 Jan 2024, at 09:54 PM, a two-wheeler collided with a truck at MG Road, Bangalore. Over speeding and reckless maneuvering. DUI-related accident",Rash Driving,Drunk Driving,Moderate
"On 17 Feb 2024, at 07:12 AM, a two-wheeler collided with a car at NH66 near Trivandrum. DUI-related accident. ",Drunk Driving,None,Moderate
"On 09 Feb 2024, at 07:11 AM, a bus collided with a bus at Marine Drive, Mumbai. Potholes, construction work, or lack of signs. Heavy rain, fog, or slippery roads",Road Conditions,Weather Issues,Moderate
"On 13 Feb 2024, at 01:12 AM, a truck collided with a truck at NH66 near Trivandrum. DUI-related accident. ",Drunk Driving,None,Moderate
"On 09 Jan 2024, at 11:05 AM, a truck collided with a two-wheeler at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 20 Feb 2024, at 01:17 AM, a truck collided with a bus at Outer Ring Road, Hyderabad. DUI-related accident. ",Drunk Driving,None,Moderate
"On 13 Jan 2024, at 09:25 PM, a truck collided with a car at Marine Drive, Mumbai. Jumping red lights or ignoring stop signs. Over speeding and reckless maneuvering",Signal Violation,Rash Driving,Moderate
"On 13 Jan 2024, at 04:12 PM, a bus collided with a car at NH66 near Trivandrum. Jaywalking or crossing in unsafe zones. Jaywalking or crossing in unsafe zones",Pedestrian Negligence,Pedestrian Negligence,High
"On 28 Feb 2024, at 02:33 AM, a two-wheeler collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,High
"On 11 Jan 2024, at 12:57 PM, a bus collided with a bus at Marine Drive, Mumbai. Car passengers not wearing seatbelts. Car passengers not wearing seatbelts",Seatbelt Violation,Seatbelt Violation,High
"On 03 Jan 2024, at 06:22 AM, a truck collided with a two-wheeler at Marine Drive, Mumbai. Jumping red lights or ignoring stop signs. ",Signal Violation,None,High
"On 22 Jan 2024, at 12:02 AM, a two-wheeler collided with a car at Outer Ring Road, Hyderabad. Jumping red lights or ignoring stop signs. DUI-related accident",Signal Violation,Drunk Driving,Moderate
"On 22 Jan 2024, at 09:01 PM, a auto-rickshaw collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Potholes, construction work, or lack of signs. ",Road Conditions,None,Moderate
"On 14 Jan 2024, at 10:53 AM, a two-wheeler collided with a truck at Marine Drive, Mumbai. Two-wheeler rider not wearing a helmet. Jumping red lights or ignoring stop signs",Helmet Violation,Signal Violation,Moderate
"On 03 Jan 2024, at 04:22 PM, a bus collided with a auto-rickshaw at Outer Ring Road, Hyderabad. DUI-related accident. Potholes, construction work, or lack of signs",Drunk Driving,Road Conditions,High
"On 12 Jan 2024, at 07:02 AM, a auto-rickshaw collided with a truck at MG Road, Bangalore. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,High
"On 01 Jan 2024, at 02:35 PM, a car collided with a two-wheeler at NH66 near Trivandrum. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 28 Jan 2024, at 02:17 AM, a two-wheeler collided with a auto-rickshaw at Marine Drive, Mumbai. Over speeding and reckless maneuvering. ",Rash Driving,None,High
"On 24 Feb 2024, at 11:08 PM, a truck collided with a car at MG Road, Bangalore. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,Moderate
"On 22 Feb 2024, at 11:55 AM, a auto-rickshaw collided with a car at MG Road, Bangalore. Jumping red lights or ignoring stop signs. ",Signal Violation,None,High
"On 26 Jan 2024, at 11:11 PM, a two-wheeler collided with a bus at Outer Ring Road, Hyderabad. Car passengers not wearing seatbelts. Over speeding and reckless maneuvering",Seatbelt Violation,Rash Driving,Moderate
"On 23 Jan 2024, at 05:07 AM, a two-wheeler collided with a bus at Marine Drive, Mumbai. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,High
"On 22 Feb 2024, at 09:50 AM, a two-wheeler collided with a bus at Marine Drive, Mumbai. DUI-related accident. Two-wheeler rider not wearing a helmet",Drunk Driving,Helmet Violation,High
"On 05 Jan 2024, at 09:54 AM, a truck collided with a bus at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 01 Jan 2024, at 05:40 AM, a auto-rickshaw collided with a bus at Marine Drive, Mumbai. DUI-related accident. ",Drunk Driving,None,Moderate
"On 07 Feb 2024, at 05:42 AM, a bus collided with a bus at Outer Ring Road, Hyderabad. Potholes, construction work, or lack of signs. ",Road Conditions,None,High
"On 16 Jan 2024, at 12:40 PM, a bus collided with a bus at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. DUI-related accident",Weather Issues,Drunk Driving,Moderate
"On 13 Jan 2024, at 09:26 PM, a two-wheeler collided with a car at Outer Ring Road, Hyderabad. Two-wheeler rider not wearing a helmet. Jaywalking or crossing in unsafe zones",Helmet Violation,Pedestrian Negligence,Moderate
"On 25 Jan 2024, at 08:22 AM, a two-wheeler collided with a auto-rickshaw at NH66 near Trivandrum. Car passengers not wearing seatbelts. Heavy rain, fog, or slippery roads",Seatbelt Violation,Weather Issues,Moderate
"On 06 Feb 2024, at 10:43 AM, a car collided with a car at NH66 near Trivandrum. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 20 Jan 2024, at 03:16 AM, a two-wheeler collided with a truck at Outer Ring Road, Hyderabad. Over speeding and reckless maneuvering. Car passengers not wearing seatbelts",Rash Driving,Seatbelt Violation,Moderate
"On 10 Jan 2024, at 05:52 AM, a car collided with a car at MG Road, Bangalore. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,High
"On 18 Jan 2024, at 06:25 PM, a two-wheeler collided with a car at Outer Ring Road, Hyderabad. DUI-related accident. Potholes, construction work, or lack of signs",Drunk Driving,Road Conditions,Moderate
"On 07 Jan 2024, at 03:54 AM, a auto-rickshaw collided with a two-wheeler at NH66 near Trivandrum. Potholes, construction work, or lack of signs. ",Road Conditions,None,High
"On 07 Jan 2024, at 12:10 AM, a auto-rickshaw collided with a car at NH66 near Trivandrum. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 28 Jan 2024, at 09:52 PM, a truck collided with a two-wheeler at MG Road, Bangalore. DUI-related accident. ",Drunk Driving,None,Moderate
"On 26 Jan 2024, at 07:21 AM, a auto-rickshaw collided with a auto-rickshaw at NH66 near Trivandrum. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,Moderate
"On 10 Feb 2024, at 03:54 AM, a two-wheeler collided with a truck at NH66 near Trivandrum. Heavy rain, fog, or slippery roads. Over speeding and reckless maneuvering",Weather Issues,Rash Driving,Moderate
"On 27 Jan 2024, at 10:10 PM, a car collided with a car at Outer Ring Road, Hyderabad. Jaywalking or crossing in unsafe zones. Over speeding and reckless maneuvering",Pedestrian Negligence,Rash Driving,Moderate
"On 17 Jan 2024, at 01:24 AM, a auto-rickshaw collided with a bus at NH66 near Trivandrum. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 14 Jan 2024, at 10:55 PM, a two-wheeler collided with a truck at NH66 near Trivandrum. DUI-related accident. ",Drunk Driving,None,High
"On 08 Jan 2024, at 07:49 PM, a bus collided with a car at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. ",Weather Issues,None,High
"On 18 Feb 2024, at 11:24 PM, a two-wheeler collided with a bus at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 09 Jan 2024, at 01:35 AM, a truck collided with a truck at Marine Drive, Mumbai. Heavy rain, fog, or slippery roads. DUI-related accident",Weather Issues,Drunk Driving,Moderate
"On 01 Mar 2024, at 04:48 PM, a truck collided with a auto-rickshaw at NH66 near Trivandrum. Car passengers not wearing seatbelts. Over speeding and reckless maneuvering",Seatbelt Violation,Rash Driving,Moderate
"On 11 Feb 2024, at 01:44 PM, a two-wheeler collided with a two-wheeler at Outer Ring Road, Hyderabad. Potholes, construction work, or lack of signs. ",Road Conditions,None,Moderate
"On 12 Feb 2024, at 02:33 PM, a bus collided with a truck at Marine Drive, Mumbai. Heavy rain, fog, or slippery roads. Potholes, construction work, or lack of signs",Weather Issues,Road Conditions,High
"On 03 Feb 2024, at 12:12 PM, a auto-rickshaw collided with a two-wheeler at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. Car passengers not wearing seatbelts",Pedestrian Negligence,Seatbelt Violation,High
"On 07 Jan 2024, at 08:00 AM, a truck collided with a truck at Outer Ring Road, Hyderabad. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 21 Jan 2024, at 08:59 AM, a car collided with a two-wheeler at NH66 near Trivandrum. Heavy rain, fog, or slippery roads. Jaywalking or crossing in unsafe zones",Weather Issues,Pedestrian Negligence,Moderate
"On 20 Jan 2024, at 04:39 PM, a auto-rickshaw collided with a auto-rickshaw at Marine Drive, Mumbai. Two-wheeler rider not wearing a helmet. Heavy rain, fog, or slippery roads",Helmet Violation,Weather Issues,Moderate
"On 02 Feb 2024, at 03:11 PM, a car collided with a car at MG Road, Bangalore. Jaywalking or crossing in unsafe zones. Heavy rain, fog, or slippery roads",Pedestrian Negligence,Weather Issues,Moderate
"On 28 Jan 2024, at 06:28 AM, a truck collided with a truck at Marine Drive, Mumbai. Heavy rain, fog, or slippery roads. Over speeding and reckless maneuvering",Weather Issues,Rash Driving,Moderate
"On 14 Jan 2024, at 01:22 AM, a bus collided with a truck at Outer Ring Road, Hyderabad. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,High
"On 14 Jan 2024, at 06:07 PM, a truck collided with a two-wheeler at Marine Drive, Mumbai. Over speeding and reckless maneuvering. Heavy rain, fog, or slippery roads",Rash Driving,Weather Issues,Moderate
"On 10 Feb 2024, at 03:44 AM, a truck collided with a bus at Marine Drive, Mumbai. Potholes, construction work, or lack of signs. ",Road Conditions,None,Moderate
"On 10 Jan 2024, at 09:26 PM, a bus collided with a auto-rickshaw at MG Road, Bangalore. Two-wheeler rider not wearing a helmet. Over speeding and reckless maneuvering",Helmet Violation,Rash Driving,Moderate
"On 09 Jan 2024, at 12:04 PM, a car collided with a bus at Outer Ring Road, Hyderabad. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 03 Feb 2024, at 12:33 PM, a car collided with a truck at MG Road, Bangalore. DUI-related accident. Heavy rain, fog, or slippery roads",Drunk Driving,Weather Issues,High
"On 07 Feb 2024, at 02:11 AM, a two-wheeler collided with a truck at Outer Ring Road, Hyderabad. Over speeding and reckless maneuvering. ",Rash Driving,None,Moderate
"On 13 Jan 2024, at 02:04 PM, a two-wheeler collided with a bus at NH66 near Trivandrum. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 27 Feb 2024, at 10:05 PM, a car collided with a car at MG Road, Bangalore. Over speeding and reckless maneuvering. ",Rash Driving,None,High
"On 24 Jan 2024, at 06:53 PM, a auto-rickshaw collided with a truck at NH66 near Trivandrum. Jaywalking or crossing in unsafe zones. Car passengers not wearing seatbelts",Pedestrian Negligence,Seatbelt Violation,Moderate
"On 22 Feb 2024, at 10:29 AM, a bus collided with a car at Marine Drive, Mumbai. Two-wheeler rider not wearing a helmet. Jaywalking or crossing in unsafe zones",Helmet Violation,Pedestrian Negligence,High
"On 18 Feb 2024, at 09:22 PM, a auto-rickshaw collided with a two-wheeler at NH66 near Trivandrum. Potholes, construction work, or lack of signs. ",Road Conditions,None,Moderate
"On 05 Feb 2024, at 05:43 AM, a car collided with a car at MG Road, Bangalore. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 13 Feb 2024, at 01:41 AM, a car collided with a car at NH66 near Trivandrum. DUI-related accident. ",Drunk Driving,None,Moderate
"On 26 Jan 2024, at 04:42 AM, a truck collided with a two-wheeler at NH66 near Trivandrum. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 01 Mar 2024, at 01:29 PM, a truck collided with a bus at Outer Ring Road, Hyderabad. Over speeding and reckless maneuvering. Heavy rain, fog, or slippery roads",Rash Driving,Weather Issues,High
"On 29 Jan 2024, at 02:53 PM, a car collided with a auto-rickshaw at Marine Drive, Mumbai. Two-wheeler rider not wearing a helmet. Over speeding and reckless maneuvering",Helmet Violation,Rash Driving,High
"On 20 Feb 2024, at 07:32 PM, a bus collided with a truck at MG Road, Bangalore. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,High
"On 24 Jan 2024, at 12:06 AM, a auto-rickshaw collided with a car at NH66 near Trivandrum. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,High
"On 17 Jan 2024, at 04:10 AM, a auto-rickshaw collided with a truck at Outer Ring Road, Hyderabad. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
"On 13 Jan 2024, at 11:34 AM, a car collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,High
"On 07 Feb 2024, at 11:13 AM, a two-wheeler collided with a auto-rickshaw at MG Road, Bangalore. Heavy rain, fog, or slippery roads. Car passengers not wearing seatbelts",Weather Issues,Seatbelt Violation,Moderate
"On 08 Jan 2024, at 09:35 PM, a two-wheeler collided with a car at NH66 near Trivandrum. Two-wheeler rider not wearing a helmet. Car passengers not wearing seatbelts",Helmet Violation,Seatbelt Violation,Moderate
"On 13 Feb 2024, at 07:11 PM, a truck collided with a bus at MG Road, Bangalore. Jumping red lights or ignoring stop signs. Over speeding and reckless maneuvering",Signal Violation,Rash Driving,High
"On 18 Feb 2024, at 07:41 PM, a car collided with a bus at Marine Drive, Mumbai. Potholes, construction work, or lack of signs. ",Road Conditions,None,Moderate
"On 12 Jan 2024, at 09:59 AM, a truck collided with a two-wheeler at NH66 near Trivandrum. Jaywalking or crossing in unsafe zones. Heavy rain, fog, or slippery roads",Pedestrian Negligence,Weather Issues,Moderate
"On 07 Jan 2024, at 11:23 AM, a truck collided with a car at Marine Drive, Mumbai. Over speeding and reckless maneuvering. ",Rash Driving,None,Moderate
"On 25 Jan 2024, at 09:46 AM, a bus collided with a car at Outer Ring Road, Hyderabad. Jaywalking or crossing in unsafe zones. Over speeding and reckless maneuvering",Pedestrian Negligence,Rash Driving,High
"On 27 Feb 2024, at 02:07 PM, a two-wheeler collided with a auto-rickshaw at NH66 near Trivandrum. DUI-related accident. Jaywalking or crossing in unsafe zones",Drunk Driving,Pedestrian Negligence,Moderate
"On 03 Feb 2024, at 01:58 PM, a auto-rickshaw collided with a truck at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. Two-wheeler rider not wearing a helmet",Weather Issues,Helmet Violation,Moderate
"On 27 Jan 2024, at 03:35 AM, a car collided with a bus at MG Road, Bangalore. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,High
"On 28 Jan 2024, at 05:06 AM, a two-wheeler collided with a truck at Marine Drive, Mumbai. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 12 Feb 2024, at 10:08 PM, a two-wheeler collided with a truck at NH66 near Trivandrum. Heavy rain, fog, or slippery roads. Car passengers not wearing seatbelts",Weather Issues,Seatbelt Violation,High
"On 19 Feb 2024, at 05:55 PM, a two-wheeler collided with a car at NH66 near Trivandrum. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 10 Feb 2024, at 04:30 AM, a truck collided with a bus at NH66 near Trivandrum. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
"On 05 Jan 2024, at 08:09 PM, a truck collided with a car at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. ",Weather Issues,None,High
"On 21 Jan 2024, at 11:33 PM, a truck collided with a truck at MG Road, Bangalore. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 26 Jan 2024, at 06:16 AM, a bus collided with a car at Outer Ring Road, Hyderabad. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
"On 17 Jan 2024, at 11:02 AM, a car collided with a car at MG Road, Bangalore. Two-wheeler rider not wearing a helmet. Jumping red lights or ignoring stop signs",Helmet Violation,Signal Violation,High
"On 19 Feb 2024, at 10:19 AM, a truck collided with a two-wheeler at Outer Ring Road, Hyderabad. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,High
"On 20 Feb 2024, at 12:59 AM, a bus collided with a truck at Marine Drive, Mumbai. Over speeding and reckless maneuvering. ",Rash Driving,None,Moderate
"On 18 Jan 2024, at 09:46 AM, a bus collided with a car at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. Jaywalking or crossing in unsafe zones",Weather Issues,Pedestrian Negligence,High
"On 08 Feb 2024, at 04:05 AM, a auto-rickshaw collided with a bus at MG Road, Bangalore. Jumping red lights or ignoring stop signs. Jumping red lights or ignoring stop signs",Signal Violation,Signal Violation,Moderate
"On 21 Jan 2024, at 07:27 AM, a truck collided with a truck at NH66 near Trivandrum. Car passengers not wearing seatbelts. Heavy rain, fog, or slippery roads",Seatbelt Violation,Weather Issues,Moderate
"On 15 Jan 2024, at 01:57 PM, a truck collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 05 Jan 2024, at 12:23 AM, a two-wheeler collided with a two-wheeler at Outer Ring Road, Hyderabad. Over speeding and reckless maneuvering. ",Rash Driving,None,Moderate
"On 22 Jan 2024, at 02:20 AM, a auto-rickshaw collided with a car at NH66 near Trivandrum. Jumping red lights or ignoring stop signs. Two-wheeler rider not wearing a helmet",Signal Violation,Helmet Violation,Moderate
"On 24 Feb 2024, at 04:34 PM, a truck collided with a two-wheeler at NH66 near Trivandrum. Two-wheeler rider not wearing a helmet. Car passengers not wearing seatbelts",Helmet Violation,Seatbelt Violation,Moderate
"On 26 Feb 2024, at 04:32 PM, a auto-rickshaw collided with a truck at MG Road, Bangalore. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,High
"On 21 Jan 2024, at 10:24 PM, a two-wheeler collided with a car at Marine Drive, Mumbai. Potholes, construction work, or lack of signs. Jumping red lights or ignoring stop signs",Road Conditions,Signal Violation,High
"On 10 Jan 2024, at 08:28 AM, a car collided with a car at NH66 near Trivandrum. DUI-related accident. DUI-related accident",Drunk Driving,Drunk Driving,High
"On 07 Jan 2024, at 07:52 AM, a auto-rickshaw collided with a truck at Outer Ring Road, Hyderabad. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,Moderate
"On 14 Feb 2024, at 02:51 AM, a truck collided with a truck at Outer Ring Road, Hyderabad. DUI-related accident. ",Drunk Driving,None,High
"On 08 Jan 2024, at 06:16 AM, a car collided with a bus at Outer Ring Road, Hyderabad. Jumping red lights or ignoring stop signs. DUI-related accident",Signal Violation,Drunk Driving,Moderate
"On 24 Jan 2024, at 02:11 PM, a truck collided with a truck at MG Road, Bangalore. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
